"1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Country","Country ID"
-0.7207342208,-0.6376900912,-0.4521967164,-0.3474728325,-0.2897424998,-0.2950601599,-0.265195765,-0.2651488831,-0.2631102665,-0.0668732745,0.0100046909,0.0231488095,-0.061817085,-0.0693297952,-0.022025108,-0.0184969817,-0.0079201682,-0.0064756587,0.0336455959,-0.0226233879,0.0030215806,0.0239487719,-0.0345305032,0.0154124411,"Indonesia","asidn"
-0.5417488967,-0.5165470055,-0.6524817589,-0.7898683736,-0.7963844811,-0.6964775251,-0.7531725315,-0.7073399247,-0.6279942288,-0.6942934181,-0.9510637676,-1.121083197,-0.9949717261,-0.7815501254,-0.7140911759,-0.4882621557,-0.3822679809,-0.2517364202,-0.3554038794,-0.4051587962,-0.3740461241,-0.4002021294,-0.438044174,-0.2877457115,"Iran","asirn"
-0.8776525465,-1.4308056786,-1.6488814599,-1.4318215109,-1.5554439116,-0.9697281564,-1.1532648118,-0.9497689246,-1.4070906467,-2.2112847769,-2.4224346853,-2.2544926958,-2.2486184277,-1.9645036553,-1.5061937374,-1.5952515246,-1.8545032241,-2.1368287439,-2.689096113,-1.5196077824,-1.9152768685,-1.3091299816,-1.3409370996,-1.5065428367,"Iraq","asirq"
1.2019775193,1.27159076,1.2916875718,1.3167196699,1.3530111253,1.4553276704,1.5024681243,1.3557101098,1.1395586663,1.1832813179,1.2747882199,1.333280341,1.3781503542,1.3305719392,1.3953359848,1.3317022446,1.2401972629,1.1802596269,1.215995216,1.2528007837,1.2175813811,1.2059326165,1.2909707779,1.2478265102,"Ireland","euirl"
0.8359087574,0.861174792,0.9802571305,1.0081508674,1.0481060148,1.0400635926,1.0158054131,1.0524079484,1.00636673,1.0399886183,1.0761533306,1.0443112506,1.0742186751,1.0634305269,1.1750358355,1.1777341387,1.1717233022,1.1880265247,1.1963341595,1.3327427742,1.2192519162,1.2670378171,1.3035382909,1.345929872,"Israel","asisr"
1.1115062191,1.1366268285,1.2072812679,1.2761130355,1.3097867395,1.2727154608,1.2928779443,1.2825492147,1.3189064057,1.259389975,1.3056527278,1.3078984635,1.3394040934,1.3712511693,1.3169256617,1.3358567064,1.3365316589,1.3702147369,1.3505530309,1.3566167583,1.3332352728,1.2940929495,1.300030259,1.3119622496,"Italy","euita"
-1.0567832738,-0.9650437844,-0.7653908566,-0.8136232456,,,-0.6548181567,-0.7209977137,-0.6061473271,-0.487345614,-0.2740367495,-0.2490401609,-0.2755289865,-0.0995684207,-0.2082720516,-0.22681573,-0.2494903697,-0.2589322848,,,-0.2335436412,-0.2894856083,-0.3212785384,-0.1685666874,"Jamaica","najam"
2.015682483,2.0133589523,2.09540958,2.1958543715,2.2800069568,2.239225478,2.3583213432,2.3428330726,2.3283828823,2.1996018526,2.1898063154,2.1740129627,2.3565299507,2.3798926353,2.4104622942,2.2926354412,2.209362998,2.2425887518,2.2446662018,2.3329974746,2.305598199,2.3543038962,2.3744600904,2.2546975336,"Japan","asjpn"
0.1452066266,0.0387504943,0.0339720107,-0.0583699473,-0.0680220901,-0.1563759238,-0.3734628626,-0.3341056241,-0.2343080248,0.0304013749,0.0398018258,0.0792134101,0.0092657928,0.0573733737,0.0552958784,0.2288519956,0.1884839693,0.1385657726,0.099581621,0.0637584893,0.0738031131,0.0244725879,-0.1166663628,0.00099578,"Jordan","asjor"
0.3959277418,0.1977656061,-0.1673704233,-0.2228535499,-0.2256453792,-0.3377865816,-0.4106092113,-0.3086367081,-0.2509689517,-0.3597906112,-0.566822729,-0.6946731806,-0.8516632665,-0.853216258,-0.5431826793,-0.5155178502,-0.470043327,-0.5561557088,-0.535018094,-0.658586963,-0.7302583516,-0.6222222486,-0.5488913663,-0.5363063868,"Kazakhstan","askaz"
